AverageDiscountedReturn,MaxReturn,Total cost,dLoss,MeanKLBefore,Entropy,AverageReturn,Perplexity,NumTrajs,StdReturn,ExplainedVariance,MinReturn,LossAfter,Iteration,AveragePolicyStd,LossBefore,MeanKL
-85.8751450198,-81.5659821069,162.52479862066144,0.00710563883092,0.0,0.398397175872,-116.832661444,1.48943548028,104,15.4907894123,0.816642776706,-155.625654967,-0.00710563883092,77,0.360399782288,1.30061721621e-15,0.00607337495984
-86.8179181641,-81.192150236,164.11664993525457,0.0223987234471,0.0,0.432453903512,-118.734750637,1.54103443738,104,17.2250478634,0.811357814862,-176.552545073,-0.0223987234471,78,0.372885219322,7.05372177684e-16,0.00871556181218
-87.8750091577,-82.3222923755,166.25258545852094,0.0297766538465,0.0,0.428560829382,-119.944836495,1.53504673892,104,17.6491136615,0.817933848823,-214.21190788,-0.0297766538465,79,0.371436371587,-6.88984550614e-17,0.00735944959346
-88.6399653814,-81.1981142687,168.62521085968964,0.210327653679,0.0,0.380795670323,-122.259873485,1.46344854889,104,16.8229600373,0.821620427534,-167.375990617,-0.210327653679,80,0.354111705671,8.44682230898e-16,0.00659565705129
-87.9768680308,-85.1350110833,167.0176902005215,0.227902983413,0.0,0.358146676406,-120.579894561,1.43067545142,104,19.903046958,0.787508542185,-217.136354308,-0.227902983413,81,0.346181575533,4.45365298573e-17,0.00704589947993
-85.6202392135,-81.3120064689,163.97473306095048,0.198616495105,0.0,0.339532539426,-116.882610269,1.40429098644,104,17.100144308,0.800857330014,-164.744224108,-0.198616495105,82,0.339797307424,-5.02702598999e-17,0.00602102599728
-86.7642667411,-84.8984722645,164.67318145816392,0.0767494558079,0.0,0.360762366568,-118.749646157,1.43442255362,104,16.4997072623,0.818268236577,-180.721432428,-0.076749455808,83,0.347088264566,-1.18765978021e-15,0.00646781031732
-86.5569591932,-83.2455866675,165.13944811650452,0.0369467634888,0.0,0.321864057928,-118.899565681,1.37969720431,104,15.7576438587,0.820234152996,-160.329684593,-0.0369467634888,84,0.333846332144,-1.23962480908e-15,0.0058406196731
-87.9809509616,-87.5627649284,166.59092638831456,0.133963336933,0.0,0.343427203439,-121.333683698,1.40977089227,104,19.708819674,0.764672001667,-226.055422078,-0.133963336933,85,0.34112328421,7.02635784416e-16,0.00905414941342
-86.5681522026,-84.7884087169,164.35014523332987,0.221194990518,0.0,0.344796233567,-118.569784398,1.41170223283,104,18.384710909,0.782977819707,-186.382739551,-0.221194990518,86,0.341590612083,1.04599811949e-15,0.0066817117401
-88.515346242,-80.6181320641,167.11231135792997,0.0860472654711,0.0,0.343735877866,-122.191488786,1.41020611967,104,18.0126165326,0.809365541487,-211.29739416,-0.0860472654711,87,0.341228596497,-4.42370511217e-16,0.00255416405179
-88.0234433399,-82.9143422169,165.23008627655167,0.0127687843992,0.0,0.353616795775,-121.267795724,1.42420931887,104,15.516465308,0.824943736537,-171.141014726,-0.0127687843992,88,0.344616960754,5.99721596358e-16,0.00923860512357
-89.9184311245,-85.0076373893,168.14343828336675,0.220442787153,0.0,0.331800864399,-124.690876967,1.39347533033,104,17.0319132741,0.821056891222,-167.492320269,-0.220442787153,89,0.33718023528,-1.0109780848e-15,0.00705577392706
-93.0529235367,-89.638152024,172.47820143298657,0.154193470371,0.0,0.327144532238,-130.502957774,1.38700192919,104,26.696838532,0.732683928422,-225.869269541,-0.154193470371,90,0.335613861715,6.43221076935e-16,0.00575409841407
-91.5308050422,-88.4230629363,168.4958721854269,0.280521776635,0.0,0.324932409144,-127.292897651,1.38393710133,104,26.0496735049,0.754719191357,-237.441895284,-0.280521776635,91,0.334872263097,-8.93516504359e-16,0.00668090774132
-88.78184228,-81.7401569512,165.21137975714018,0.0671340092831,0.0,0.332480961978,-122.561535125,1.39442335187,104,24.5238733364,0.737674247239,-230.306105231,-0.0671340092831,92,0.337409628738,3.19869865021e-16,0.00668168670889
-87.399131642,-85.5401965889,164.87849957318227,0.0113752028722,0.0,0.330884138278,-120.835956025,1.39219848045,104,18.6796978211,0.77662531983,-199.349201659,-0.0113752028722,93,0.336871274989,-3.46782813742e-16,0.00726203097924
-86.9731841804,-86.2925260441,167.93132258886294,0.0889792980695,0.0,0.303595192846,-120.307436639,1.35472054451,104,17.2552210644,0.795315248613,-195.425478568,-0.0889792980695,94,0.327802711676,-4.40687420805e-16,0.00619409527372
-86.1978522296,-81.4261964699,167.26006514106754,0.209837318061,0.0,0.279917884393,-118.933088669,1.32302116719,104,21.8464103999,0.745030527295,-228.005340656,-0.209837318061,95,0.320132390379,-8.82893957996e-16,0.00953084564418
-86.8877631201,-79.7599442488,167.23047686840943,0.204045890155,0.0,0.322287344207,-120.111029512,1.38028133483,104,20.5219384667,0.768295984272,-226.598380461,-0.204045890155,96,0.333987674628,-3.12893211892e-16,0.00547322617105
-84.6578379781,-78.2283578667,163.33215860048523,0.128331486412,0.0,0.339606264766,-116.028599118,1.40439452208,104,16.4486891867,0.794317667412,-167.160606805,-0.128331486412,97,0.339822360019,-9.99791635204e-16,0.00475275564736
-85.2389867249,-81.0652754165,164.98056149640072,0.0151194063976,0.0,0.359880603444,-117.066504406,1.43315829018,104,19.8974911002,0.775082198997,-222.364280426,-0.0151194063976,98,0.346782349826,-4.61236776723e-16,0.00459878571953
-86.8015321701,-83.9615071189,165.95363884876565,0.0652377702319,0.0,0.353735675528,-119.785644559,1.42437863858,104,14.298472732,0.822232338281,-154.50186938,-0.0652377702319,99,0.344657931168,1.79807764333e-16,0.00660316908604
