AverageReturn,MeanKLBefore,MinReturn,Entropy,StdReturn,NumTrajs,AverageDiscountedReturn,dLoss,MaxReturn,AveragePolicyStd,LossAfter,Perplexity,MeanKL,Iteration,LossBefore,ExplainedVariance
-847.487061635,0.0,-986.240762397,1.93927559554,64.3882623998,34,-189.370820774,17.8288366613,-693.865704149,1.68259469342,-517.828836661,6.95371184578,0.00986552721832,116,-500.0,0.871495339376
-885.888338393,0.0,-983.762718944,1.94709148056,47.0590258035,34,-197.26794675,19.1919964667,-777.248040626,1.69579718746,-519.191996467,7.00827420685,0.00844686236988,117,-500.0,0.89498834104
-872.219343552,0.0,-1013.68982963,1.94774317985,67.8414798368,34,-196.155720927,22.2836441502,-729.996491175,1.69690269747,-522.28364415,7.01284298273,0.00944771503433,118,-500.0,0.870660020687
-890.39242251,0.0,-1041.36463731,1.95487986723,74.6380749074,34,-200.478579466,22.1632048116,-738.450133858,1.70905627811,-522.163204812,7.0630704665,0.00965018443396,119,-500.0,0.881948721844
-884.614140551,0.0,-1041.72391907,1.98298836983,59.137389811,34,-199.881222286,13.4199903107,-778.916438811,1.75777681385,-513.419990311,7.26441935215,0.00969448183612,120,-500.0,0.893485177208
-928.384577979,0.0,-1064.08782175,1.97241137278,62.0721689158,34,-204.152323949,12.8000625883,-789.591287069,1.7392827917,-512.800062588,7.18798852693,0.00863715233743,121,-500.0,0.895165928978
-925.979924773,0.0,-1034.18538756,1.97441701693,54.5637432474,34,-201.833135261,14.9332195399,-830.231448184,1.74277467462,-514.93321954,7.20241954097,0.0070454441838,122,-500.0,0.905876727628
-932.898181776,0.0,-1038.10713073,1.96264874467,47.7739058443,34,-200.522284963,13.7779625928,-839.030430642,1.72238543614,-513.777962593,7.11815629582,0.00802179664526,123,-500.0,0.903661457698
-920.859120609,0.0,-1082.29462545,1.96861057004,54.9540197534,34,-196.523033633,13.2673313188,-818.140804465,1.73268466793,-513.267331319,7.16072025398,0.00603223974055,124,-500.0,0.911522661354
-932.220368186,0.0,-1027.61105677,1.96841881,46.3786934933,34,-199.353025256,16.6658662671,-831.40768511,1.7323524401,-516.665866267,7.15934724558,0.0065338300008,125,-500.0,0.903746284529
-924.053781845,0.0,-1043.98698694,1.95968534848,65.1576807704,34,-199.072396341,14.7430997308,-803.66094646,1.71728888098,-514.743099731,7.09709360253,0.0078047842532,126,-500.0,0.892104170274
